,Total PV Energy
1312,506.32937
1313,543.942267
1314,625.2204429999999
1315,614.902554
1316,612.357299
1317,533.222843
1318,452.60436400000003
1319,615.9159389999999
1320,625.031074
1321,570.749559
1322,482.47039699999993
1323,446.16756999999996
1324,619.5288360000002
1325,625.884575
1326,517.281521
1327,600.199001
1328,572.864772
1329,598.2643380000001
1330,510.543701
1331,533.991688
1332,614.7796710000001
1333,647.8359700000001
1334,624.7169040000001
1335,603.0633620000001
1336,637.842986
1337,624.684007
1338,646.954024
1339,642.5173270000001
1340,623.3925459999999
1341,643.252539
1342,625.377326
1343,625.187009
1344,625.2792690000001
1345,625.7119220000001
1346,624.814517
1347,642.694159
1348,629.826024
1349,640.054201
1350,641.5399590000002
1351,423.055778
1352,577.1204580000001
1353,610.614003
1354,609.2056530000001
1355,610.5364679999999
1356,586.7625189999999
1357,632.0963780000001
1358,629.693125
1359,570.9893429999998
1360,596.901781
1361,576.0396499999999
1362,613.282515
1363,589.8456580000001
1364,617.4731400000001
1365,648.03122
1366,615.711088
1367,601.489485
1368,607.232464
1369,621.7555169999998
1370,588.474886
1371,613.787588
1372,592.302308
1373,594.617176
1374,615.3278369999999
1375,615.771209
1376,595.9928219999999
1377,600.36329
1378,605.489575
1379,616.583392
1380,567.431619
1381,621.161894
1382,574.4934660000001
1383,614.852076
1384,601.179532
1385,614.860107
1386,584.05641
1387,470.19143199999996
1388,465.22207299999997
1389,465.28947999999997
1390,462.11128699999995
1391,465.670782
1392,510.959206
1393,465.37263600000006
1394,495.20217399999996
1395,465.180155
1396,471.127087
1397,474.42485
1398,465.4224669999999
1399,465.60038299999997
1400,474.988453
1401,512.815986
1402,466.136744
1403,478.8905879999999
1404,504.957743
1405,465.260855
1406,466.285982
1407,469.58458200000007
1408,501.540177
1409,494.58959400000003
1410,473.8878
1411,465.70060900000004
1412,484.885114
1413,465.13045
1414,465.23167900000004
1415,472.758999
1416,504.65067200000004
1417,467.049145
1418,465.51168000000007
1419,457.55064699999997
1420,472.167321
1421,489.05992499999996
1422,472.58877099999995
1423,466.615712
1424,544.208238
1425,580.769965
1426,595.81774
1427,525.573348
1428,587.012789
1429,490.1969
1430,539.297549
1431,505.995087
1432,594.981294
1433,524.9178870000001
1434,508.3400449999999
1435,444.10808099999997
1436,426.926385
1437,413.777426
1438,417.395426
1439,430.51791399999996
1440,411.835194
1441,420.324098
1442,425.9841350000001
1443,426.44547
1444,433.295219
1445,426.657642
1446,422.113512
1447,431.454152
1448,412.06771100000003
1449,411.97708900000003
1450,559.041601
1451,581.797966
1452,525.1201560000001
1453,594.635095
1454,561.8769229999999
1455,571.958321
1456,526.844659
1457,530.408686
1458,512.58788
1459,516.663354
1460,547.886075
1461,454.226214
1462,534.954342
1463,589.327385
1464,511.574499
1465,482.219534
1466,448.10356
1467,593.335216
1468,543.611231
1469,571.8553810000001
1470,585.0238259999999
1471,520.015978
1472,560.997463
1473,575.4178440000001
1474,575.5984870000001
1475,595.1604050000001
1476,570.772115
1477,521.870588
1478,568.3657539999999
1479,540.403043
1480,527.5652379999999
1481,582.3174559999999
1482,584.4828610000001
1483,572.800027
1484,424.241309
1485,609.147022
1486,600.548812
1487,574.2944209999999
1488,564.178056
1489,634.3661950000001
1490,614.0600009999999
1491,586.103203
1492,446.283755
1493,618.2268699999998
1494,454.108968
1495,599.0446509999999
1496,546.525673
