,Total GHI Energy
1460,2249.631
1461,1917.868
1462,2202.552
1463,2375.682
1464,2047.756
1465,1979.484
1466,1918.876
1467,2388.105
1468,2197.047
1469,2286.819
1470,2365.003
1471,2169.605
1472,2297.501
1473,2331.855
1474,2328.067
1475,2390.224
1476,2313.916
1477,2174.871
1478,2301.568
1479,2221.359
1480,2194.901
1481,2342.193
1482,2354.877
1483,2283.441
1484,1785.486
1485,2436.341
1486,2398.892
1487,2277.308
1488,2237.486
1489,2524.594
1490,2464.928
1491,2328.577
1492,1861.736
1493,2482.445
1494,1868.397
1495,2388.944
1496,2167.196
1497,2466.142
1498,2285.446
1499,1966.977
1500,2077.605
1501,2356.58
1502,1895.062
1503,1856.087
1504,1874.349
1505,2298.69
1506,1876.565
1507,2457.251
1508,2470.269
1509,2477.862
1510,2378.712
1511,1839.91
1512,2482.392
1513,2474.093
1514,2452.769
1515,2478.282
1516,2466.814
1517,2538.159
1518,2575.393
1519,2517.01
1520,2540.243
1521,2564.228
1522,2486.394
1523,2521.247
1524,2507.702
1525,2517.649
1526,2573.062
1527,2504.944
1528,2566.519
1529,2505.867
1530,2575.375
1531,2506.521
1532,2567.308
1533,2557.332
1534,2552.524
1535,2560.829
1536,2558.159
1537,2495.306
1538,2409.195
1539,2568.084
1540,2538.513
1541,2500.8
1542,2598.749
1543,2575.72
1544,2576.942
1545,2573.353
1546,1767.666
1547,1769.503
1548,1797.941
1549,1781.132
1550,1796.547
1551,1791.863
1552,1789.457
1553,2358.856
1554,2424.965
1555,2374.088
1556,2433.039
1557,2484.999
1558,2501.512
1559,2486.271
1560,2541.891
1561,2488.947
1562,2529.635
1563,2549.955
1564,2390.738
1565,2443.058
1566,2467.062
1567,2559.478
1568,2333.522
1569,2325.143
1570,2387.5
1571,2394.802
1572,2438.892
1573,2327.003
1574,2445.494
1575,2400.384
1576,2407.551
1577,2428.61
1578,2353.062
1579,2450.074
1580,2328.727
1581,2427.187
1582,2463.651
1583,2479.084
1584,2063.355
1585,1923.442
1586,2016.255
1587,2031.046
1588,1988.149
1589,2072.063
1590,2066.599
1591,2041.361
1592,2000.059
1593,1989.597
1594,2162.742
1595,2002.46
1596,2003.245
1597,2141.051
1598,2050.228
1599,2001.887
1600,1997.442
1601,1989.649
1602,2155.488
1603,2076.679
1604,2092.68
1605,2002.328
1606,2003.564
1607,1996.656
1608,2000.167
1609,2052.801
1610,2047.308
1611,2013.622
1612,1863.134
1613,1992.305
1614,2000.729
1615,1955.746
1616,1839.895
1617,1991.755
1618,1977.36
1619,2017.783
1620,2106.208
1621,1980.899
1622,2040.721
1623,1998.767
1624,2000.788
1625,2193.977
1626,2320.943
1627,2218.066
1628,2231.741
1629,2201.748
1630,2405.43
1631,1931.537
1632,2395.904
1633,2131.395
1634,2354.435
1635,2278.148
1636,1773.781
1637,1849.243
1638,1821.91
1639,1804.006
1640,1884.454
1641,1859.399
1642,1781.793
1643,1832.616
1644,1828.224
1645,1783.495
1646,1788.166
1647,1821.82
1648,2241.453
1649,1913.778
1650,2161.895
1651,2151.952
1652,2201.883
1653,2095.196
1654,2381.24
1655,1920.629
1656,1926.796
1657,2422.463
1658,2209.256
1659,1941.983
1660,1933.102
1661,2406.871
1662,2116.623
1663,2321.299
1664,2265.335
1665,2265.787
1666,2408.78
1667,2202.298
1668,2292.561
1669,2494.835
1670,1881.572
1671,2210.564
1672,1857.911
1673,2490.2
1674,1873.937
1675,1798.786
1676,2317.736
1677,2481.845
1678,2404.033
1679,1830.176
1680,2446.314
1681,1917.719
1682,1855.452
1683,2496.115
1684,2468.492
1685,2199.895
1686,2379.61
1687,1844.225
1688,2208.885
1689,2488.288
1690,2127.214
1691,2064.672
1692,2485.726
1693,2479.954
1694,2381.259
1695,1843.227
1696,2511.634
1697,2564.94
1698,2505.122
1699,2570.394
1700,2533.179
1701,2576.078
1702,2492.935
1703,2531.432
1704,2490.258
1705,2582.042
1706,2506.059
1707,2448.999
1708,2503.55
1709,2501.403
1710,2574.978
1711,2536.94
1712,2541.33
1713,2473.339
1714,2492.36
1715,2492.216
1716,2484.855
1717,2583.877
1718,1814.016
1719,1789.381
1720,1812.507
1721,1791.129
1722,1791.37
1723,2340.582
1724,2503.771
1725,2464.458
1726,2478.904
1727,2437.53
1728,2373.28
1729,2562.172
1730,2371.469
1731,2476.538
1732,2439.641
1733,2405.922
1734,2368.711
1735,2358.557
1736,2533.647
1737,2532.212
1738,2642.35
1739,2436.146
1740,2492.347
1741,2554.453
1742,2472.354
1743,2660.917
1744,2358.185
1745,2429.098
1746,2406.709
1747,2452.898
1748,2426.57
1749,2445.807
1750,2530.802
1751,2509.137
1752,2648.452
1753,2458.447
1754,2380.234
1755,2382.358
1756,2406.336
1757,2667.248
1758,2394.666
1759,2415.511
1760,2048.5
1761,2142.325
1762,1991.218
1763,1974.258
1764,1992.147
1765,1972.753
1766,1992.707
1767,2007.321
1768,2056.62
1769,1997.595
1770,1989.242
1771,2044.804
1772,2032.324
1773,2053.009
1774,2056.458
1775,1998.236
1776,1987.945
1777,2006.864
1778,2007.291
1779,2150.798
1780,2036.937
1781,2034.837
1782,2056.78
1783,2005.336
1784,1995.904
1785,1999.25
1786,1993.156
1787,2150.359
1788,2030.968
1789,1991.725
1790,1993.188
1791,2004.423
1792,2035.737
1793,2267.897
1794,1819.971
1795,2436.54
1796,1936.489
1797,1777.538
1798,1782.426
1799,1765.602
1800,1873.445
1801,1824.415
1802,1813.159
1803,1848.712
1804,1789.963
1805,1835.531
1806,1779.977
1807,1841.649
1808,1772.934
1809,1772.047
1810,1814.368
1811,1829.891
1812,1821.84
1813,1839.82
1814,1866.669
1815,1770.463
1816,2156.329
1817,2058.461
1818,2245.678
1819,1937.678
1820,2184.147
1821,1939.196
1822,2320.714
1823,2199.736
1824,2177.659
1825,2036.554
1826,2325.308
1827,1914.366
1828,2223.038
1829,2200.595
1830,2203.657
1831,1757.364
1832,2127.876
1833,2510.32
1834,1851.415
1835,2454.311
1836,2294.013
1837,1757.9
1838,2441.762
1839,2489.531
1840,2183.634
1841,1864.827
1842,2306.369
1843,2473.102
1844,2210.174
1845,2488.036
1846,2078.59
1847,1872.146
1848,2406.494
1849,2473.51
1850,2493.148
1851,2240.726
1852,2336.196
1853,2225.409
1854,1800.764
1855,2254.884
1856,2212.767
1857,2229.355
1858,2084.592
1859,1827.776
1860,1858.324
1861,2536.546
1862,2483.239
1863,2487.542
1864,2507.566
1865,2504.227
1866,2493.097
